Time,What,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17
[time],OPEN LOG
[time],START, #X, #Y, #O, #A
[time],SOLVE INIT,upper bound(s),lower bound(s),init bounds(s),init sample engine(s),init sarsop prune(s),init other,init belief tree(s),total init time
[time],SOLVE START,#iteration,elapsed time,#trials,#backups,lower bound,upper bound,precision,#alphas,#beliefs,total time
[time],SOLVE,#iteration,elapsed time,#trials,#backups,lower bound,upper bound,precision,#alphas,#beliefs,low bound backup time,up bound backup time,#low bound backups,#up bound backups,sample time,prune time,step 0(s),step 1(s),step 2(s),step 3(s),step 4(s),step 5(s),step 6(s),stop,total time
[2017/08/14 20:59:14],OPEN LOG
[2017/08/14 20:59:14],START,48,48,49,9
[2017/08/14 20:59:14],SOLVE INIT,0,0,0.74,0,0,0,0,0.74
[2017/08/14 20:59:15],SOLVE START,-1,0.74,0,0,912.083,938.143,26.0595,432,1,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0
[2017/08/14 20:59:15],SOLVE,34,0.75,8,50,930.166,937.71,7.54372,466,26,0,0,50,50,0,0,0,0,0,0,0,0,0,0,0
[2017/08/14 20:59:15],SOLVE,68,0.76,18,100,935.305,937.71,2.40491,486,39,0,0,50,50,0,0,0,0,0,0,0,0,0,0,0
[2017/08/14 20:59:15],SOLVE,103,0.76,26,150,936.592,937.71,1.11793,507,59,0,0,50,50,0,0,0,0,0,0,0,0,0,0,0
[2017/08/14 20:59:15],SOLVE,136,0.77,36,200,937.214,937.71,0.496331,526,71,0.01,0,50,50,0,0,0,0,0,0,0,0,0,0,0
[2017/08/14 20:59:15],SOLVE,167,0.78,42,250,937.335,937.71,0.375595,541,89,0.01,0,50,50,0,0,0,0,0,0,0,0,0,0,0
[2017/08/14 20:59:15],SOLVE,199,0.79,48,300,937.379,937.71,0.330999,575,105,0.01,0,50,50,0,0,0,0,0,0,0,0,0,0,0
[2017/08/14 20:59:15],SOLVE,231,0.8,55,350,937.426,937.71,0.283989,594,118,0.01,0,50,50,0,0,0,0,0,0,0,0,0,0,0
[2017/08/14 20:59:15],SOLVE,263,0.8,61,400,937.48,937.71,0.230301,612,132,0,0,50,50,0,0,0,0,0,0,0,0,0,0,0
[2017/08/14 20:59:15],SOLVE,293,0.81,68,450,937.55,937.71,0.160214,622,137,0.01,0,50,50,0,0,0,0,0,0,0,0,0,0,0
[2017/08/14 20:59:15],SOLVE,329,0.81,78,500,937.615,937.71,0.0955387,632,143,0,0,50,50,0,0,0,0,0,0,0,0,0,0,0
[2017/08/14 20:59:15],SOLVE,360,0.82,85,551,937.661,937.71,0.0496261,656,149,0.01,0,51,51,0,0,0,0,0,0,0,0,0,0,0
[2017/08/14 20:59:15],SOLVE,393,0.82,93,600,937.678,937.71,0.0323942,668,151,0,0,49,49,0,0,0,0,0,0,0,0,0,0,0
[2017/08/14 20:59:15],SOLVE,424,0.83,99,650,937.684,937.71,0.0265095,697,152,0.01,0,50,50,0,0,0,0,0,0,0,0,0,0,0
[2017/08/14 20:59:15],SOLVE,457,0.84,107,701,937.694,937.71,0.0161745,717,152,0,0,51,51,0,0,0,0,0,0,0,0,0,0,0
[2017/08/14 20:59:15],SOLVE,490,0.84,113,755,937.699,937.71,0.0112745,744,152,0,0,54,54,0,0,0,0,0,0,0,0,0,0,0
[2017/08/14 20:59:15],SOLVE,520,0.84,119,800,937.702,937.71,0.0077417,760,152,0,0,45,45,0,0,0,0,0,0,0,0,0,0,0
[2017/08/14 20:59:15],SOLVE,551,0.85,126,851,937.705,937.71,0.00516138,778,152,0.01,0,51,51,0,0,0,0,0,0,0,0,0,0,0.01
[2017/08/14 20:59:15],SOLVE,583,0.86,132,900,937.707,937.71,0.00349166,800,152,0,0,49,49,0,0,0,0,0,0,0,0,0,0,0
[2017/08/14 20:59:15],SOLVE,613,0.87,138,950,937.708,937.71,0.00235824,816,152,0.01,0,50,50,0,0,0,0,0,0,0,0,0,0,0
[2017/08/14 20:59:15],SOLVE,646,0.87,145,1003,937.709,937.71,0.00157188,821,152,0,0,53,53,0,0,0,0,0,0,0,0,0,0,0
[2017/08/14 20:59:15],SOLVE,676,0.87,151,1051,937.709,937.71,0.00122704,845,152,0,0,48,48,0,0,0,0,0,0,0,0,0,0,0
[2017/08/14 21:08:39],OPEN LOG
[2017/08/14 21:08:39],START,84,84,85,9
[2017/08/14 21:08:39],SOLVE INIT,0,0,23.4,0,0,0,0,23.4
[2017/08/14 21:09:03],SOLVE START,-1,23.4,0,0,1710.52,1769.33,58.8131,756,1,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0
[2017/08/14 21:09:03],SOLVE,28,23.42,2,53,1737.58,1767.19,29.6046,756,27,0,0,53,53,0,0,0,0,0,0,0,0,0,0,0
[2017/08/14 21:09:03],SOLVE,60,23.44,3,100,1740.23,1767.12,26.8902,782,56,0.01,0,47,47,0,0,0,0,0,0,0,0,0,0,0
[2017/08/14 21:09:03],SOLVE,82,23.46,5,150,1744.56,1766.65,22.0941,799,72,0,0,50,50,0,0,0,0,0,0,0,0,0,0,0
[2017/08/14 21:09:03],SOLVE,109,23.48,7,205,1744.56,1765.96,21.4085,809,96,0.01,0,55,55,0,0,0.01,0,0,0,0,0,0,0,0.01
[2017/08/14 21:09:03],SOLVE,140,23.5,9,250,1746.38,1765.69,19.3155,816,122,0,0,45,45,0,0,0,0,0,0,0,0,0,0,0
[2017/08/14 21:09:03],SOLVE,160,23.52,10,301,1746.92,1765.4,18.4734,846,138,0.01,0,51,51,0,0,0.01,0,0,0,0,0,0,0,0.01
[2017/08/14 21:09:03],SOLVE,191,23.54,12,359,1746.92,1765.28,18.3579,849,164,0.01,0,58,58,0,0,0,0,0,0,0,0,0,0,0
[2017/08/14 21:09:03],SOLVE,217,23.56,13,400,1747.01,1765.24,18.2263,882,185,0.01,0,41,41,0,0,0,0,0,0,0,0,0,0,0
[2017/08/14 21:09:03],SOLVE,246,23.58,15,463,1751.72,1764.97,13.254,900,208,0.01,0,63,63,0,0,0,0,0,0,0,0,0,0,0
[2017/08/14 21:09:03],SOLVE,268,23.6,16,500,1751.72,1764.92,13.1988,909,225,0.01,0,37,37,0,0,0,0,0,0,0,0,0,0,0
[2017/08/14 21:09:03],SOLVE,298,23.62,17,550,1751.72,1764.87,13.1464,939,251,0.01,0,50,50,0,0,0,0,0,0,0,0,0,0,0
[2017/08/14 21:09:03],SOLVE,324,23.64,19,611,1751.72,1764.82,13.0989,946,271,0,0.01,61,61,0,0,0,0,0,0,0,0,0,0,0
[2017/08/14 21:09:03],SOLVE,346,23.66,20,650,1751.74,1764.72,12.9895,966,287,0.01,0,39,39,0,0,0,0,0,0,0,0,0,0,0
[2017/08/14 21:09:03],SOLVE,378,23.68,21,700,1751.74,1764.71,12.9697,974,316,0.01,0.01,50,50,0,0,0,0,0,0,0,0,0,0,0
[2017/08/14 21:09:03],SOLVE,401,23.7,23,757,1752,1764.62,12.6133,984,331,0.01,0,57,57,0,0,0,0,0,0,0,0,0,0,0
[2017/08/14 21:09:03],SOLVE,426,23.72,24,800,1752,1764.62,12.6109,1006,354,0.01,0,43,43,0,0,0,0,0,0,0,0,0,0,0
[2017/08/14 21:09:03],SOLVE,454,23.75,26,857,1752,1764.54,12.5314,1024,377,0.01,0,57,57,0,0,0,0,0,0,0,0,0,0,0
[2017/08/14 21:09:03],SOLVE,484,23.77,28,913,1752,1764.43,12.4246,1046,398,0.01,0,56,56,0,0,0,0,0,0,0,0,0,0,0
[2017/08/14 21:09:03],SOLVE,508,23.79,29,950,1752,1764.42,12.4148,1057,416,0,0.01,37,37,0,0,0,0,0,0,0,0,0,0,0
[2017/08/14 21:09:03],SOLVE,534,23.81,31,1007,1752.86,1764.35,11.4888,1067,434,0.01,0,57,57,0,0,0,0,0,0,0,0,0,0,0
[2017/08/14 21:09:03],SOLVE,565,23.84,33,1065,1752.86,1764.29,11.4317,1073,458,0.02,0,58,58,0,0,0,0,0,0,0,0,0,0,0
[2017/08/14 21:09:03],SOLVE,585,23.86,34,1103,1752.86,1764.24,11.3769,1073,471,0,0,38,38,0,0,0,0,0,0,0,0,0,0,0.01
[2017/08/14 21:09:03],SOLVE,619,23.88,36,1150,1752.86,1764.22,11.3609,1087,496,0.01,0,47,47,0,0,0,0,0,0,0,0,0,0,0
[2017/08/14 21:09:03],SOLVE,637,23.9,37,1200,1752.86,1764.15,11.2942,1096,507,0.01,0,50,50,0,0,0,0,0,0,0,0,0,0,0
[2017/08/14 21:09:03],SOLVE,670,23.92,38,1250,1752.86,1764.12,11.2613,1090,529,0,0,50,50,0,0,0,0,0,0,0,0,0,0,0
[2017/08/14 21:09:03],SOLVE,693,23.94,40,1307,1753.56,1764.11,10.5481,1107,545,0.01,0,57,57,0,0,0,0,0,0,0,0,0,0,0
[2017/08/14 21:09:03],SOLVE,721,23.96,41,1350,1753.61,1764.1,10.493,1110,561,0.02,0,43,43,0,0,0,0,0,0,0,0,0,0,0
[2017/08/14 21:09:03],SOLVE,747,23.98,43,1409,1753.61,1764.09,10.4749,1123,578,0.01,0,59,59,0,0,0,0,0,0,0,0,0,0,0
[2017/08/14 21:09:03],SOLVE,773,24,44,1450,1753.62,1764.08,10.4595,1154,592,0.02,0,41,41,0,0,0,0,0,0,0,0,0,0,0
[2017/08/14 21:09:03],SOLVE,799,24.02,46,1500,1753.79,1764.05,10.262,1125,607,0.01,0,50,50,0,0,0,0,0,0,0,0,0,0,0
[2017/08/14 21:09:03],SOLVE,829,24.04,48,1563,1753.8,1764.05,10.2496,1160,627,0,0.01,63,63,0,0,0,0,0,0,0,0,0,0,0
[2017/08/14 21:09:03],SOLVE,849,24.06,49,1600,1753.8,1764.05,10.2466,1170,640,0,0.01,37,37,0,0,0,0,0,0,0,0,0,0,0
[2017/08/14 21:09:03],SOLVE,879,24.08,51,1657,1753.8,1764.03,10.2297,1196,660,0,0,57,57,0,0,0,0,0,0,0,0,0,0,0
[2017/08/14 21:09:03],SOLVE,908,24.1,53,1700,1753.87,1764.01,10.1433,1179,679,0.01,0,43,43,0,0,0,0,0,0,0,0,0,0,0
[2017/08/14 21:09:03],SOLVE,931,24.12,54,1750,1753.87,1764,10.1281,1168,688,0.01,0.01,50,50,0,0,0,0,0,0,0,0,0,0,0
[2017/08/14 21:09:04],SOLVE,956,24.15,56,1801,1753.87,1763.99,10.1193,1176,708,0.02,0.01,51,51,0,0,0,0,0,0,0,0,0,0,0
[2017/08/14 21:09:04],SOLVE,989,24.18,58,1863,1753.87,1763.98,10.1118,1200,731,0.01,0.01,62,62,0,0,0,0,0,0,0,0,0,0,0
[2017/08/14 21:09:04],SOLVE,1010,24.2,59,1900,1753.87,1763.97,10.1021,1196,745,0.02,0,37,37,0,0,0,0,0,0,0,0,0,0,0
[2017/08/14 21:09:04],SOLVE,1042,24.23,61,1963,1753.88,1763.95,10.0739,1197,768,0,0.02,63,63,0,0,0,0,0,0,0,0,0,0,0
[2017/08/14 21:09:04],SOLVE,1062,24.25,62,2000,1753.88,1763.95,10.0725,1175,779,0.02,0,37,37,0,0,0,0,0,0,0,0,0,0,0
[2017/08/14 21:09:04],SOLVE,1092,24.27,64,2057,1753.88,1763.94,10.0631,1192,801,0,0.01,57,57,0,0,0,0,0,0,0,0,0,0,0
[2017/08/14 21:09:04],SOLVE,1118,24.29,65,2100,1753.91,1763.94,10.0258,1185,817,0,0,43,43,0,0,0,0,0,0,0,0,0,0,0
[2017/08/14 21:09:04],SOLVE,1146,24.32,67,2159,1753.91,1763.93,10.0174,1191,835,0.01,0,59,59,0,0,0,0,0,0,0,0,0,0,0
[2017/08/14 21:09:04],SOLVE,1169,24.34,68,2200,1753.94,1763.93,9.99287,1194,846,0.02,0,41,41,0,0,0,0,0,0,0,0,0,0,0
[2017/08/14 21:09:04],SOLVE,1198,24.37,70,2257,1753.94,1763.91,9.97367,1203,862,0.01,0.01,57,57,0,0,0.01,0,0,0,0,0,0,0,0.01
[2017/08/14 21:09:04],SOLVE,1229,24.39,71,2300,1753.94,1763.91,9.96729,1204,882,0.01,0,43,43,0,0,0,0,0,0,0,0,0,0,0
[2017/08/14 21:09:04],SOLVE,1248,24.41,73,2351,1753.94,1763.9,9.96326,1198,891,0.01,0,51,51,0,0,0,0,0,0,0,0,0,0,0
[2017/08/14 21:09:04],SOLVE,1281,24.43,74,2400,1753.94,1763.89,9.94464,1180,910,0.01,0,49,49,0,0,0,0,0,0,0,0,0,0,0
[2017/08/14 21:09:04],SOLVE,1301,24.45,76,2451,1754,1763.87,9.87017,1206,920,0.01,0,51,51,0,0,0,0,0,0,0,0,0,0,0
[2017/08/14 21:09:04],SOLVE,1332,24.48,78,2509,1754,1763.87,9.8683,1232,935,0.02,0,58,58,0,0,0.01,0,0,0,0,0,0,0,0.01
[2017/08/14 21:09:04],SOLVE,1359,24.5,79,2550,1754,1763.87,9.8666,1242,947,0,0,41,41,0,0,0,0,0,0,0,0,0,0,0
[2017/08/14 21:09:04],SOLVE,1381,24.52,81,2600,1754,1763.85,9.84764,1223,958,0.02,0,50,50,0,0,0,0,0,0,0,0,0,0,0
[2017/08/14 21:09:04],SOLVE,1410,24.54,83,2655,1754,1763.85,9.84336,1227,969,0,0,55,55,0,0,0,0,0,0,0,0,0,0,0
[2017/08/14 21:09:04],SOLVE,1441,24.56,85,2700,1754.01,1763.85,9.83704,1239,984,0.01,0,45,45,0,0,0,0,0,0,0,0,0,0,0
[2017/08/14 21:09:04],SOLVE,1462,24.59,86,2753,1754.01,1763.84,9.83296,1259,999,0.02,0.01,53,53,0,0,0.01,0,0,0,0,0,0,0,0.01
[2017/08/14 21:09:04],SOLVE,1495,24.62,88,2815,1754.01,1763.84,9.82775,1281,1016,0.02,0,62,62,0,0,0.01,0,0,0,0,0,0,0,0.01
[2017/08/14 21:09:04],SOLVE,1514,24.63,89,2851,1754.01,1763.83,9.8241,1269,1027,0,0,36,36,0,0,0,0,0,0,0,0,0,0,0
[2017/08/14 21:09:04],SOLVE,1546,24.66,91,2911,1754.01,1763.83,9.81792,1261,1043,0.02,0,60,60,0,0,0.01,0,0,0,0,0,0,0,0.01
[2017/08/14 21:09:04],SOLVE,1574,24.68,92,2950,1754.01,1763.83,9.81716,1276,1061,0.01,0,39,39,0,0,0,0,0,0,0,0,0,0,0
[2017/08/14 21:09:04],SOLVE,1596,24.71,94,3005,1754.02,1763.82,9.80808,1241,1072,0.02,0,55,55,0,0,0.01,0,0,0,0,0,0,0,0.01
[2017/08/14 21:09:04],SOLVE,1624,24.73,95,3050,1754.02,1763.82,9.80708,1239,1085,0,0.01,45,45,0,0,0,0,0,0,0,0,0,0,0
[2017/08/14 21:09:04],SOLVE,1650,24.76,97,3107,1754.02,1763.82,9.8032,1249,1108,0,0,57,57,0,0,0,0,0,0,0,0,0,0,0
[2017/08/14 21:09:04],SOLVE,1675,24.78,98,3150,1754.2,1763.81,9.61501,1256,1118,0.01,0,43,43,0,0,0,0,0,0,0,0,0,0,0
[2017/08/14 21:09:04],SOLVE,1701,24.81,100,3203,1754.2,1763.81,9.60948,1265,1131,0.02,0.01,53,53,0,0,0.01,0,0,0,0,0,0,0,0.01
[2017/08/14 21:09:04],SOLVE,1733,24.83,102,3263,1754.2,1763.8,9.60537,1269,1145,0,0.01,60,60,0,0,0,0,0,0,0,0,0,0,0
[2017/08/14 21:09:04],SOLVE,1753,24.85,103,3301,1754.2,1763.8,9.6053,1266,1156,0.02,0,38,38,0,0,0,0,0,0,0,0,0,0,0
[2017/08/14 21:09:04],SOLVE,1786,24.88,104,3350,1754.2,1763.8,9.60413,1283,1175,0.01,0,49,49,0,0,0,0,0,0,0,0,0,0,0
[2017/08/14 21:09:04],SOLVE,1806,24.9,106,3400,1754.2,1763.8,9.60307,1275,1183,0.01,0,50,50,0,0,0,0,0,0,0,0,0,0,0
[2017/08/14 21:09:04],SOLVE,1834,24.93,108,3453,1754.21,1763.8,9.58387,1272,1194,0,0,53,53,0,0,0.01,0,0,0,0,0,0,0,0.01
[2017/08/14 21:09:04],SOLVE,1868,24.96,110,3517,1754.21,1763.79,9.58162,1274,1210,0.01,0.02,64,64,0,0,0.01,0,0,0,0,0,0,0,0.01
[2017/08/14 21:09:04],SOLVE,1887,24.97,111,3550,1754.21,1763.79,9.57942,1276,1217,0,0,33,33,0,0,0,0,0,0,0,0,0,0,0
[2017/08/14 21:09:04],SOLVE,1919,25,113,3613,1754.37,1763.79,9.42201,1291,1237,0.02,0,63,63,0,0,0,0,0,0,0,0,0,0,0
